race,sentence,sentence_severity,sentence_severity_3,worst_crime_display,sex,wc_bucket,diff_conv_ex
Black,19 to 57 years,No,Some prison sentence,Sexual Assault,Male,b1,28
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,23
White,15 years,No,Some prison sentence,Sexual Assault,Male,b1,7
White,15 to Life,No,Some prison sentence,Murder,Male,b1,16
Black,5 years,No,Some prison sentence,Burglary/Unlawful Entry,Male,b4,5
White,1 year and 10 months,No,Some prison sentence,Child Sex Abuse,Male,b2,7
White,Life,Yes,Life in prison/death,Murder,Male,b1,16
Black,15 to Life,No,Some prison sentence,Murder,Male,b1,14
White,Death,Yes,Life in prison/death,Murder,Male,b1,8
White,15 years,No,Some prison sentence,Sexual Assault,Male,b1,36
Hispanic,172 years,No,Some prison sentence,Murder,Male,b1,8
Hispanic,Life,Yes,Life in prison/death,Sexual Assault,Male,b1,25
Hispanic,15 years,No,Some prison sentence,Sexual Assault,Male,b1,28
White,Fine,No,Probation/not sentenced/unknown,Other Nonviolent Misdemeanor,Male,NA,1
Hispanic,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,3
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,17
White,6 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,18
Black,2 to 15 years,No,Some prison sentence,Sexual Assault,Male,b1,6
Black,Probation,No,Probation/not sentenced/unknown,Child Sex Abuse,Male,b2,23
White,Life,Yes,Life in prison/death,Child Sex Abuse,Female,b2,6
White,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,6
White,Life,Yes,Life in prison/death,Murder,Male,b1,27
White,Life,Yes,Life in prison/death,Murder,Male,b1,16
White,Life,Yes,Life in prison/death,Murder,Male,b1,14
White,Life,Yes,Life in prison/death,Murder,Male,b1,4
White,25 to life,No,Some prison sentence,Murder,Male,b1,19
Black,Life,Yes,Life in prison/death,Murder,Male,b1,30
Black,180 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,12
Black,Life,Yes,Life in prison/death,Murder,Male,b1,16
Black,90 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,1
Black,45 years,No,Some prison sentence,Sexual Assault,Male,b1,10
Black,Not sentenced,No,Probation/not sentenced/unknown,Accessory to Murder,Male,b1,1
Black,20 years to Life,No,Some prison sentence,Murder,Male,b1,24
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,5
Black,Life,Yes,Life in prison/death,Murder,Male,b1,10
Black,38 1/3 to life,No,Some prison sentence,Murder,Male,b1,26
Black,3 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,15
Black,2 years and 6 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,13
White,10 years and 10 months,No,Some prison sentence,Child Sex Abuse,Female,b2,5
White,10 years and 10 months,No,Some prison sentence,Child Sex Abuse,Male,b2,5
Black,20 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,2
White,9 to 18 years,No,Some prison sentence,Robbery,Male,b2,5
Hispanic,Life,Yes,Life in prison/death,Murder,Male,b1,17
Hispanic,9 years,No,Some prison sentence,Sexual Assault,Male,b1,12
Hispanic,Not sentenced,No,Probation/not sentenced/unknown,Assault,Male,b2,0
Black,25 to life,No,Some prison sentence,Murder,Male,b1,31
Black,60 years,No,Some prison sentence,Murder,Male,b1,24
White,25 to life,No,Some prison sentence,Murder,Female,b1,21
Black,60 years,No,Some prison sentence,Murder,Male,b1,22
Black,4 to 10 years,No,Some prison sentence,Other Nonviolent Felony,Male,b8,2
Black,13 to 26 years,No,Some prison sentence,Sexual Assault,Male,b1,19
White,25 to 50 years,No,Some prison sentence,Sexual Assault,Male,b1,10
Black,20 years,No,Some prison sentence,Assault,Male,b2,13
Black,Death,Yes,Life in prison/death,Murder,Male,b1,14
White,Life,Yes,Life in prison/death,Child Sex Abuse,Female,b2,3
White,45 years,No,Some prison sentence,Murder,Male,b1,2
White,20 years,No,Some prison sentence,Child Sex Abuse,Male,b2,9
White,Probation,No,Probation/not sentenced/unknown,Theft,Female,b4,3
White,Life,Yes,Life in prison/death,Murder,Male,b1,2
White,Death,Yes,Life in prison/death,Murder,Male,b1,6
Black,Life,Yes,Life in prison/death,Murder,Male,b1,14
White,12 to 40 years,No,Some prison sentence,Sexual Assault,Male,b1,5
White,Death,Yes,Life in prison/death,Murder,Male,b1,35
Black,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,24
Black,15 years,No,Some prison sentence,Assault,Male,b2,1
White,20 years,No,Some prison sentence,Child Sex Abuse,Male,b2,19
White,25 years,No,Some prison sentence,Burglary/Unlawful Entry,Male,b4,26
Black,39 to life,No,Some prison sentence,Murder,Male,b1,18
White,8 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,8
Hispanic,Life without parole,Yes,Life in prison/death,Murder,Male,b1,23
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,36
Black,6 months,No,Some prison sentence,Drug Possession or Sale,Female,b5,2
Black,Life,Yes,Life in prison/death,Murder,Male,b1,34
Black,58 years,No,Some prison sentence,Murder,Male,b1,11
White,Probation,No,Probation/not sentenced/unknown,Fraud,Female,b6,6
White,10 years,No,Some prison sentence,Murder,Male,b1,10
Black,75 years,No,Some prison sentence,Robbery,Male,b2,31
Black,20 years,No,Some prison sentence,Child Sex Abuse,Male,b2,16
Black,30 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,1
White,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,4
White,20 years,No,Some prison sentence,Robbery,Male,b2,8
Black,25 to Life,No,Some prison sentence,Murder,Male,b1,27
Black,Life,Yes,Life in prison/death,Robbery,Male,b2,3
Black,7 1/2 to 15 years,No,Some prison sentence,Sexual Assault,Male,b1,26
White,6 years and 9 months,No,Some prison sentence,Manslaughter,Male,b1,2
Black,48 to 82 years,No,Some prison sentence,Robbery,Male,b2,2
White,Not sentenced,No,Probation/not sentenced/unknown,Destruction of Property,Male,b4,1
White,Life,Yes,Life in prison/death,Murder,Female,b1,5
White,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,0
White,Life,Yes,Life in prison/death,Murder,Male,b1,23
White,10 years,No,Some prison sentence,Child Sex Abuse,Male,b2,24
Black,Not sentenced,No,Probation/not sentenced/unknown,Sex Offender Registration,Male,b5,0
White,20 to Life,No,Some prison sentence,Murder,Male,b1,30
Hispanic,Life without parole,Yes,Life in prison/death,Murder,Male,b1,19
Black,31 years,No,Some prison sentence,Sexual Assault,Male,b1,15
White,Life,Yes,Life in prison/death,Murder,Male,b1,4
White,18 years,No,Some prison sentence,Murder,Female,b1,12
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,13
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,16
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,13
White,Not sentenced,No,Probation/not sentenced/unknown,Sexual Assault,Male,b1,1
White,3 years and 4 months,No,Some prison sentence,Child Abuse,Female,b2,7
Hispanic,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,13
Hispanic,35 years,No,Some prison sentence,Child Sex Abuse,Female,b2,21
White,55 to Life,No,Some prison sentence,Murder,Male,b1,6
Black,25 years to Life,No,Some prison sentence,Murder,Male,b1,26
White,55 years,No,Some prison sentence,Murder,Male,b1,25
Black,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,2
Black,85 years,No,Some prison sentence,Sexual Assault,Male,b1,1
Black,55 years,No,Some prison sentence,Murder,Male,b1,5
Black,1 year and 6 months,No,Some prison sentence,Perjury,Male,b6,2
Black,Life,Yes,Life in prison/death,Murder,Male,b1,23
White,23 years,No,Some prison sentence,Sexual Assault,Male,b1,5
White,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,1
Black,20 years,No,Some prison sentence,Murder,Male,b1,4
Black,6 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,7
Native American,Probation,No,Probation/not sentenced/unknown,Assault,Male,b2,20
White,15 years,No,Some prison sentence,Manslaughter,Female,b1,1
White,90 years,No,Some prison sentence,Kidnapping,Male,b3,19
White,25 years,No,Some prison sentence,Manslaughter,Male,b1,14
White,5 to 25 years,No,Some prison sentence,Sexual Assault,Male,b1,4
Hispanic,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,2
Black,25 to life,No,Some prison sentence,Murder,Male,b1,19
Black,7 to 10 years,No,Some prison sentence,Child Abuse,Male,b2,9
Black,28 years,No,Some prison sentence,Assault,Male,b2,40
Black,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,17
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,3
Hispanic,15 to Life,No,Some prison sentence,Murder,Male,b1,14
Hispanic,5 years,No,Some prison sentence,Weapon Possession or Sale,Male,NA,3
Hispanic,21 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,0
White,5 years,No,Some prison sentence,Child Abuse,Female,b2,3
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,3
Black,10 years,No,Some prison sentence,Sexual Assault,Male,b1,25
Black,Life,Yes,Life in prison/death,Sexual Assault,Male,b1,22
Black,Life,Yes,Life in prison/death,Murder,Male,b1,27
White,23 years,No,Some prison sentence,Child Sex Abuse,Male,b2,4
White,4 years and 8 months,No,Some prison sentence,Child Sex Abuse,Female,b2,4
White,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,4
Black,35 2/3 to life,No,Some prison sentence,Child Sex Abuse,Male,b2,14
Black,20 years,No,Some prison sentence,Robbery,Male,b2,19
Black,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,10
Black,Not sentenced,No,Probation/not sentenced/unknown,Other Violent Felony,Male,b3,4
White,Death,Yes,Life in prison/death,Murder,Male,b1,18
Black,20 to Life,No,Some prison sentence,Murder,Male,b1,13
White,20 5/6 years to 50 years,No,Some prison sentence,Sexual Assault,Male,b1,21
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,2
White,Life,Yes,Life in prison/death,Sexual Assault,Male,b1,7
White,Probation,No,Probation/not sentenced/unknown,Theft,Male,b4,1
Black,4 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,16
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,21
White,30 to Life,No,Some prison sentence,Kidnapping,Male,b3,3
White,Not sentenced,No,Probation/not sentenced/unknown,Arson,Male,b2,1
Black,Life,Yes,Life in prison/death,Murder,Male,b1,23
Black,1 year,No,Some prison sentence,Sexual Assault,Male,b1,2
Black,2 years,No,Some prison sentence,Assault,Male,b2,13
Black,15 to 25 years,No,Some prison sentence,Sexual Assault,Male,b1,25
Black,Life,Yes,Life in prison/death,Murder,Male,b1,16
Black,12 years,No,Some prison sentence,Attempted Murder,Male,b1,6
White,25 to Life,No,Some prison sentence,Murder,Male,b1,26
Black,1 year and 6 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,11
Black,2 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,15
Black,7 months,No,Some prison sentence,Drug Possession or Sale,Female,b5,7
White,40 years,No,Some prison sentence,Murder,Male,b1,8
Hispanic,25 to life,No,Some prison sentence,Murder,Male,b1,23
White,22 years,No,Some prison sentence,Murder,Male,b1,14
White,Not sentenced,No,Probation/not sentenced/unknown,Tax Evasion/Fraud,Male,b5,2
Black,5 years,No,Some prison sentence,Child Sex Abuse,Male,b2,14
Black,Death,Yes,Life in prison/death,Murder,Male,b1,23
Hispanic,Community service,No,Probation/not sentenced/unknown,Filing a False Report,Female,b9,7
Hispanic,12 years,No,Some prison sentence,Sexual Assault,Male,b1,18
White,Not sentenced,No,Probation/not sentenced/unknown,Sexual Assault,Male,b1,6
Black,12 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,4
Black,Death,Yes,Life in prison/death,Murder,Male,b1,43
White,10 years,No,Some prison sentence,Murder,Male,b1,3
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,18
Black,15 to 30 years,No,Some prison sentence,Child Sex Abuse,Male,b2,15
White,7 years and 3 months,No,Some prison sentence,Fraud,Male,b6,2
White,6 to 16 years,No,Some prison sentence,Sexual Assault,Male,b1,1
White,Not sentenced,No,Probation/not sentenced/unknown,Tax Evasion/Fraud,Male,b5,2
Black,1 year,No,Some prison sentence,Drug Possession or Sale,Male,b5,20
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,37
Black,25 to life,No,Some prison sentence,Murder,Male,b1,24
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,15
Hispanic,3 years,No,Some prison sentence,Assault,Male,b2,5
Hispanic,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,0
Hispanic,40 years,No,Some prison sentence,Murder,Male,b1,32
Hispanic,2 years,No,Some prison sentence,Burglary/Unlawful Entry,Male,b4,11
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,6
Black,Death,Yes,Life in prison/death,Murder,Male,b1,23
Black,8 days,No,Some prison sentence,Drug Possession or Sale,Female,b5,0
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,36
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,33
White,25 to Life,No,Some prison sentence,Robbery,Male,b2,12
White,Life,Yes,Life in prison/death,Murder,Male,b1,2
White,15 years,No,Some prison sentence,Sexual Assault,Male,b1,8
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,37
Black,Death,Yes,Life in prison/death,Murder,Male,b1,30
Black,5 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,11
White,2 years,No,Some prison sentence,Other Nonviolent Felony,Male,b8,6
White,Life,Yes,Life in prison/death,Child Sex Abuse,Female,b2,6
White,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,6
Black,32 to 50 years,No,Some prison sentence,Murder,Male,b1,14
White,6 years,No,Some prison sentence,Sexual Assault,Male,b1,1
Black,40 years,No,Some prison sentence,Sexual Assault,Male,b1,17
Black,25 to life,No,Some prison sentence,Murder,Male,b1,6
Black,25 to Life,No,Some prison sentence,Murder,Male,b1,8
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,3
White,10 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,7
White,40 years,No,Some prison sentence,Murder,Male,b1,5
Black,Life,Yes,Life in prison/death,Murder,Male,b1,29
Black,10 years,No,Some prison sentence,Drug Possession or Sale,Female,b5,1
White,Life,Yes,Life in prison/death,Child Sex Abuse,Male,b2,21
White,Life,Yes,Life in prison/death,Murder,Male,b1,6
White,2 years and 6 months,No,Some prison sentence,Possession of Stolen Property,Male,b4,5
Black,5 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,1
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,6
Black,6 months,No,Some prison sentence,Drug Possession or Sale,Female,b5,2
Native American,40 years,No,Some prison sentence,Murder,Male,b1,16
White,Life,Yes,Life in prison/death,Sexual Assault,Male,b1,19
White,Life,Yes,Life in prison/death,Murder,Male,b1,11
White,3 years,No,Some prison sentence,Manslaughter,Female,b1,2
Black,3 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,3
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,3
White,23 years,No,Some prison sentence,Murder,Male,b1,7
Hispanic,5 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,0
Black,50 years,No,Some prison sentence,Sexual Assault,Male,b1,25
Black,15 to 30 years,No,Some prison sentence,Attempted Murder,Male,b1,3
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,20
Black,31 years,No,Some prison sentence,Murder,Male,b1,13
Hispanic,Not sentenced,No,Probation/not sentenced/unknown,Assault,Male,b2,0
Black,Life,Yes,Life in prison/death,Murder,Male,b1,1
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,26
White,20 years,No,Some prison sentence,Child Sex Abuse,Male,b2,2
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,7
White,22 to 45 years,No,Some prison sentence,Arson,Male,b2,7
Black,3 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,17
Black,30 years,No,Some prison sentence,Murder,Male,b1,17
Black,10 to 30 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,7
Black,Not sentenced,No,Probation/not sentenced/unknown,Weapon Possession or Sale,Male,NA,1
White,3 years,No,Some prison sentence,Drug Possession or Sale,Female,b5,1
Hispanic,15 to Life,No,Some prison sentence,Child Sex Abuse,Male,b2,3
White,10 to life,No,Some prison sentence,Murder,Male,b1,0
Black,25 years,No,Some prison sentence,Attempted Murder,Male,b1,9
Hispanic,Life without parole,Yes,Life in prison/death,Murder,Male,b1,33
Black,Life,Yes,Life in prison/death,Robbery,Male,b2,30
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,14
Hispanic,25 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,0
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,6
Hispanic,25 to life,No,Some prison sentence,Murder,Male,b1,14
Hispanic,8 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,3
Hispanic,Life,Yes,Life in prison/death,Murder,Male,b1,6
Hispanic,11 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,2
Hispanic,4 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,3
White,Life,Yes,Life in prison/death,Murder,Male,b1,26
Black,33 to life,No,Some prison sentence,Sexual Assault,Male,b1,26
Black,30 years,No,Some prison sentence,Murder,Male,b1,19
White,6 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,0
White,12 years,No,Some prison sentence,Child Sex Abuse,Male,b2,8
Black,2 years,No,Some prison sentence,Fraud,Male,b6,2
Black,13 years,No,Some prison sentence,Robbery,Male,b2,3
Black,32 to 43 years,No,Some prison sentence,Attempted Murder,Male,b1,4
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,29
White,15 years,No,Some prison sentence,Manslaughter,Male,b1,18
Hispanic,25 to life,No,Some prison sentence,Murder,Male,b1,21
Hispanic,180 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,7
Hispanic,25 years to Life,No,Some prison sentence,Child Sex Abuse,Male,b2,13
White,10 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,0
White,30 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,9
White,26 years,No,Some prison sentence,Robbery,Male,b2,4
Black,60 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,9
Black,20 to Life,No,Some prison sentence,Murder,Male,b1,27
Black,30 days,No,Some prison sentence,Drug Possession or Sale,Male,b5,0
Black,36 to life,No,Some prison sentence,Murder,Male,b1,21
Black,5 to 15 years,No,Some prison sentence,Manslaughter,Female,b1,18
Black,30 to life,No,Some prison sentence,Murder,Male,b1,52
White,Death,Yes,Life in prison/death,Murder,Male,b1,3
White,23 years and 4 months,No,Some prison sentence,Child Sex Abuse,Male,b2,5
White,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,2
Black,8 years,No,Some prison sentence,Child Sex Abuse,Male,b2,17
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,26
White,15 years,No,Some prison sentence,Sex Offender Registration,Male,b5,2
Black,1 year and 6 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,18
Hispanic,Life,Yes,Life in prison/death,Murder,Male,b1,2
White,45 years,No,Some prison sentence,Murder,Male,b1,22
White,Death,Yes,Life in prison/death,Murder,Male,b1,6
White,30 years,No,Some prison sentence,Manslaughter,Male,b1,5
Black,Death,Yes,Life in prison/death,Murder,Male,b1,3
White,Not sentenced,No,Probation/not sentenced/unknown,Bribery,Male,b6,1
White,37 1/2 to 75 years,No,Some prison sentence,Child Sex Abuse,Male,b2,7
Native American,5 years,No,Some prison sentence,Child Sex Abuse,Male,b2,8
White,Probation,No,Probation/not sentenced/unknown,Fraud,Male,b6,5
White,20 to Life,No,Some prison sentence,Murder,Male,b1,17
Black,2 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,10
White,6 years,No,Some prison sentence,Fraud,Male,b6,3
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,28
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,3
Black,Life,Yes,Life in prison/death,Murder,Male,b1,25
Black,30 years,No,Some prison sentence,Sexual Assault,Male,b1,24
Black,8 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,18
Black,24 years,No,Some prison sentence,Sexual Assault,Male,b1,27
White,22 to 56 years,No,Some prison sentence,Sexual Assault,Male,b1,26
White,90 days,No,Some prison sentence,Fraud,Male,b6,3
Black,Life,Yes,Life in prison/death,Murder,Male,b1,16
Black,3 years and four months,No,Some prison sentence,Drug Possession or Sale,Male,b5,10
White,Life,Yes,Life in prison/death,Murder,Male,b1,9
White,7 years,No,Some prison sentence,Child Sex Abuse,Male,b2,2
Black,Life,Yes,Life in prison/death,Murder,Male,b1,12
White,Not sentenced,No,Probation/not sentenced/unknown,Sexual Assault,Male,b1,2
Black,1 year,No,Some prison sentence,Assault,Female,b2,3
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,10
Black,20 years,No,Some prison sentence,Robbery,Male,b2,1
Black,36 years,No,Some prison sentence,Sexual Assault,Male,b1,24
Black,25 to life,No,Some prison sentence,Murder,Male,b1,15
Black,3 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,12
Black,15 to life,No,Some prison sentence,Murder,Male,b1,20
White,Not sentenced,No,Probation/not sentenced/unknown,Fraud,Male,b6,3
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,22
White,10 to 20 years,No,Some prison sentence,Sexual Assault,Male,b1,15
Black,27 to Life,No,Some prison sentence,Murder,Male,b1,13
White,Death,Yes,Life in prison/death,Murder,Male,b1,3
White,10 years,No,Some prison sentence,Child Sex Abuse,Female,b2,2
White,10 years,No,Some prison sentence,Child Sex Abuse,Male,b2,2
White,3 years and 1 month,No,Some prison sentence,Weapon Possession or Sale,Male,NA,1
White,25 to Life,No,Some prison sentence,Murder,Male,b1,24
Hispanic,41 to Life,No,Some prison sentence,Murder,Male,b1,14
Hispanic,1 year and 4 months,No,Some prison sentence,Weapon Possession or Sale,Male,NA,3
Hispanic,35 years,No,Some prison sentence,Murder,Male,b1,20
White,10 to 25 years,No,Some prison sentence,Manslaughter,Male,b1,17
White,20 to life,No,Some prison sentence,Child Sex Abuse,Female,b2,4
Hispanic,5 years,No,Some prison sentence,Child Sex Abuse,Male,b2,21
Hispanic,Life without parole,Yes,Life in prison/death,Murder,Male,b1,30
Hispanic,55 years,No,Some prison sentence,Sexual Assault,Male,b1,20
Hispanic,Not sentenced,No,Probation/not sentenced/unknown,Assault,Male,b2,1
Hispanic,1 year and 6 months,No,Some prison sentence,Child Sex Abuse,Male,b2,2
Hispanic,Life,Yes,Life in prison/death,Murder,Male,b1,7
Hispanic,1 year and 6 months,No,Some prison sentence,Other Nonviolent Felony,Male,b8,3
Hispanic,5 years,No,Some prison sentence,Assault,Male,b2,2
Hispanic,15 to Life,No,Some prison sentence,Murder,Male,b1,6
Hispanic,10 years,No,Some prison sentence,Accessory to Murder,Female,b1,20
Hispanic,45 years,No,Some prison sentence,Murder,Male,b1,28
White,Life,Yes,Life in prison/death,Sexual Assault,Male,b1,20
White,5 to Life,No,Some prison sentence,Murder,Male,b1,18
Black,22 years,No,Some prison sentence,Robbery,Male,b2,13
Black,Not sentenced,No,Probation/not sentenced/unknown,Attempted Murder,Male,b1,1
Black,2 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,17
White,2 years,No,Some prison sentence,Burglary/Unlawful Entry,Male,b4,7
Black,Life without parole,Yes,Life in prison/death,Murder,Male,b1,11
Black,9 years,No,Some prison sentence,Theft,Male,b4,6
Black,4 years,No,Some prison sentence,Drug Possession or Sale,Female,b5,16
White,50 years,No,Some prison sentence,Sexual Assault,Male,b1,7
Black,110 years,No,Some prison sentence,Murder,Male,b1,17
Black,45 years,No,Some prison sentence,Child Sex Abuse,Male,b2,11
White,16 years,No,Some prison sentence,Child Sex Abuse,Female,b2,5
White,13 years,No,Some prison sentence,Child Sex Abuse,Male,b2,3
White,Death,Yes,Life in prison/death,Murder,Male,b1,13
White,40 years,No,Some prison sentence,Murder,Male,b1,11
Black,3 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,2
Hispanic,32 to life,No,Some prison sentence,Murder,Male,b1,4
Hispanic,45 to life,No,Some prison sentence,Murder,Male,b1,6
White,Not sentenced,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,1
Black,42 years and 8 months,No,Some prison sentence,Murder,Male,b1,5
White,Death,Yes,Life in prison/death,Murder,Male,b1,5
Black,18 1/2 to 23 7/8 years,No,Some prison sentence,Robbery,Male,b2,12
Black,Life,Yes,Life in prison/death,Murder,Male,b1,9
Black,11 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,6
Black,Death,Yes,Life in prison/death,Murder,Male,b1,16
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,21
Black,Life,Yes,Life in prison/death,Murder,Male,b1,8
Black,60 years,No,Some prison sentence,Attempted Murder,Male,b1,21
Black,50 years,No,Some prison sentence,Murder,Female,b1,24
White,3 years,No,Some prison sentence,Theft,Male,b4,8
Black,52 years,No,Some prison sentence,Murder,Male,b1,3
White,Death,Yes,Life in prison/death,Murder,Male,b1,33
Black,20 to 50 years,No,Some prison sentence,Sexual Assault,Male,b1,13
Black,Probation,No,Probation/not sentenced/unknown,Assault,Female,b2,1
White,23 years,No,Some prison sentence,Child Sex Abuse,Female,b2,4
Black,Not sentenced,No,Probation/not sentenced/unknown,Sexual Assault,Male,b1,1
Black,10 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,6
Black,16 years,No,Some prison sentence,Child Sex Abuse,Male,b2,2
Black,Death,Yes,Life in prison/death,Murder,Male,b1,7
White,15 to Life,No,Some prison sentence,Murder,Male,b1,16
Black,11 years,No,Some prison sentence,Sexual Assault,Male,b1,1
Black,75 years,No,Some prison sentence,Sexual Assault,Male,b1,27
Black,33 to Life,No,Some prison sentence,Murder,Male,b1,24
Black,15 to life,No,Some prison sentence,Murder,Male,b1,21
Black,Life,Yes,Life in prison/death,Murder,Male,b1,3
White,Life without parole,Yes,Life in prison/death,Murder,Male,b1,18
Native American,15 years,No,Some prison sentence,Drug Possession or Sale,Male,b5,0
Native American,Probation,No,Probation/not sentenced/unknown,Harassment,Male,b9,1
Black,70 years,No,Some prison sentence,Sexual Assault,Male,b1,7
Black,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Female,b5,17
White,5 to Life,No,Some prison sentence,Sexual Assault,Male,b1,3
Black,Not sentenced,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,3
White,3 1/3 to 10 years,No,Some prison sentence,Sexual Assault,Male,b1,4
Black,Death,Yes,Life in prison/death,Murder,Male,b1,25
White,1 year,No,Some prison sentence,Theft,Male,b4,14
Black,Life without parole,Yes,Life in prison/death,Robbery,Male,b2,9
Black,8 months,No,Some prison sentence,Drug Possession or Sale,Male,b5,4
Black,Life,Yes,Life in prison/death,Sexual Assault,Male,b1,24
White,15 to 35 years,No,Some prison sentence,Sexual Assault,Male,b1,9
White,12 1/2 to 25 years,No,Some prison sentence,Attempted Murder,Male,b1,10
Black,4 to 12 years,No,Some prison sentence,Robbery,Male,b2,2
White,Not sentenced,No,Probation/not sentenced/unknown,Child Sex Abuse,Male,b2,3
White,1 year,No,Some prison sentence,Drug Possession or Sale,Female,b5,4
Hispanic,60 years,No,Some prison sentence,Murder,Male,b1,6
Hispanic,Probation,No,Probation/not sentenced/unknown,Drug Possession or Sale,Male,b5,3
Asian,3 to 9 years,No,Some prison sentence,Child Sex Abuse,Male,b2,5
